date,closeprice
2012-9-20,4727.471
2012-9-21,4738.25
2012-9-24,4766.317
2012-9-25,4755.921
2012-9-26,4706.912
2012-9-27,4849.374
2012-9-28,4934.33
2012-10-8,4891.739
2012-10-9,4994.404
2012-10-10,4994.625
2012-10-11,4953.103
2012-10-12,4961.488
2012-10-15,4942.543
2012-10-16,4949.344
2012-10-17,4957.571
2012-10-18,5027.758
2012-10-19,5016.006
2012-10-22,5035.067
2012-10-23,4975.883
2012-10-24,4969.871
2012-10-25,4935.496
2012-10-26,4846.165
2012-10-29,4814.171
2012-10-30,4825.207
2012-10-31,4857.81
2012-11-1,4951.395
2012-11-2,4976.485
2012-11-5,4966.868
2012-11-6,4949.025
2012-11-7,4940.259
2012-11-8,4852.24
2012-11-9,4845.3
2012-11-12,4875.601
2012-11-13,4791.647
2012-11-14,4814.57
2012-11-15,4750.577
2012-11-16,4717.998
2012-11-19,4719.997
2012-11-20,4692.073
2012-11-21,4760.682
2012-11-22,4729.116
2012-11-23,4765.29
2012-11-26,4740.281
2012-11-27,4687.303
2012-11-28,4644.51
2012-11-29,4612.281
2012-11-30,4666.736
2012-12-3,4612.05
2012-12-4,4659.507
2012-12-5,4826.022
2012-12-6,4819.413
2012-12-7,4921.271
2012-12-10,4975.482
2012-12-11,4946.003
2012-12-12,4973.101
2012-12-13,4914.985
2012-12-14,5178.748
2012-12-17,5205.161
2012-12-18,5216.133
2012-12-19,5213.713
2012-12-20,5244.724
2012-12-21,5206.131
2012-12-24,5230.142
2012-12-25,5379.468
2012-12-26,5390.899
2012-12-27,5353.807
2012-12-28,5441.327
2012-12-31,5550.086
2013-1-4,5567.779
2013-1-7,5597.803
2013-1-8,5556.077
2013-1-9,5548.798
2013-1-10,5557.171
2013-1-11,5444.556
2013-1-14,5657.702
2013-1-15,5689.274
2013-1-16,5638.799
2013-1-17,5581.203
2013-1-18,5679.319
2013-1-21,5702.962
2013-1-22,5677.686
2013-1-23,5703.401
2013-1-24,5656.225
2013-1-25,5630.489
2013-1-28,5816.994
2013-1-29,5876.057
2013-1-30,5900.777
2013-1-31,5910.274
2013-2-1,6053.896
2013-2-4,6075.377
2013-2-5,6106.81
2013-2-6,6121.481
2013-2-7,6063.113
2013-2-8,6070.066
2013-2-18,5998.696
2013-2-19,5894.3
2013-2-20,5916.212
2013-2-21,5698.556
2013-2-22,5665.463
2013-2-25,5686.451
2013-2-26,5604.236
2013-2-27,5665.885
2013-2-28,5845.608
2013-3-1,5823.469
2013-3-4,5544.788
2013-3-5,5736.704
2013-3-6,5796.088
2013-3-7,5715.301
2013-3-8,5700.73
2013-3-11,5656.434
2013-3-12,5576.139
2013-3-13,5513.697
2013-3-14,5523.91
2013-3-15,5535.941
2013-3-18,5447.194
2013-3-19,5505.523
2013-3-20,5701.663
2013-3-21,5704.66
2013-3-22,5712.458
2013-3-25,5701.78
2013-3-26,5606.298
2013-3-27,5627.677
2013-3-28,5420.684
2013-3-29,5421.62
2013-4-1,5407.042
2013-4-2,5395.566
2013-4-3,5396.673
2013-4-8,5360.261
2013-4-9,5404.181
2013-4-10,5399.792
2013-4-11,5384.824
2013-4-12,5351.094
2013-4-15,5304.143
2013-4-16,5350.888
2013-4-17,5336.691
2013-4-18,5354.406
2013-4-19,5514.137
2013-4-22,5506.466
2013-4-23,5324.885
2013-4-24,5430.162
2013-4-25,5377.909
2013-4-26,5337.289
2013-5-2,5337.231
2013-5-3,5436.015
2013-5-6,5503.918
2013-5-7,5511.786
2013-5-8,5534.224
2013-5-9,5494.771
2013-5-10,5527.421
2013-5-13,5504.712
2013-5-14,5431.41
2013-5-15,5458.52
2013-5-16,5553.845
2013-5-17,5635.414
2013-5-20,5679.902
2013-5-21,5671.193
2013-5-22,5681.422
2013-5-23,5595.918
2013-5-24,5621.361
2013-5-27,5632.272
2013-5-28,5738.045
2013-5-29,5726.614
2013-5-30,5707.665
2013-5-31,5649.973
2013-6-3,5641.52
2013-6-4,5568.605
2013-6-5,5548.369
2013-6-6,5476.641
2013-6-7,5390.747
2013-6-13,5212.664
2013-6-14,5241.382
2013-6-17,5213.816
2013-6-18,5248.213
2013-6-19,5204.116
2013-6-20,5037.878
2013-6-21,5029.963
2013-6-24,4714.402
2013-6-25,4712.931
2013-6-26,4696.357
2013-6-27,4693.582
2013-6-28,4788.852
2013-7-1,4805.55
2013-7-2,4813.091
2013-7-3,4767.344
2013-7-4,4802.127
2013-7-5,4810.558
2013-7-8,4680.495
2013-7-9,4681.129
2013-7-10,4811.885
2013-7-11,5052.379
2013-7-12,4931.555
2013-7-15,4996.438
2013-7-16,5015.347
2013-7-17,4941.933
2013-7-18,4861.823
2013-7-19,4748.234
2013-7-22,4772.314
2013-7-23,4899.392
2013-7-24,4855.803
2013-7-25,4836.909
2013-7-26,4812.076
2013-7-29,4705.984
2013-7-30,4740.781
2013-7-31,4749.835
2013-8-1,4859.212
2013-8-2,4858.204
2013-8-5,4917.163
2013-8-6,4936.884
2013-8-7,4910.575
2013-8-8,4891.502
2013-8-9,4914.551
2013-8-12,5070.218
2013-8-13,5089.097
2013-8-14,5065.245
2013-8-15,5011.835
2013-8-16,4985.79
2013-8-19,5037.698
2013-8-20,4996.789
2013-8-21,4987.556
2013-8-22,4974.941
2013-8-23,4936.621
2013-8-26,5043.838
2013-8-27,5058.404
2013-8-28,5036.739
2013-8-29,5019.186
2013-8-30,5013.334
2013-9-2,5021.904
2013-9-3,5096.526
2013-9-4,5090.889
2013-9-5,5073.418
2013-9-6,5119.106
2013-9-9,5333.15
2013-9-10,5409.083
2013-9-11,5417.09
2013-9-12,5490.29
2013-9-13,5439.059
2013-9-16,5411.644
2013-9-17,5295.269
2013-9-18,5308.705
2013-9-23,5375.184
2013-9-24,5294.997
2013-9-25,5262.204
2013-9-26,5167.662
2013-9-27,5186.439
2013-9-30,5213.534
2013-10-8,5275.141
2013-10-9,5298.426
2013-10-10,5228.953
2013-10-11,5327.928
2013-10-14,5326.885
2013-10-15,5314.691
2013-10-16,5222.076
2013-10-17,5201.671
2013-10-18,5224.235
2013-10-21,5314.212
2013-10-22,5259.757
2013-10-23,5218.655
2013-10-24,5172.403
2013-10-25,5111.499
